Год,Должность,Уровень_опыта,Формат_работы,Страна_компании,Размер_компании,Зарплата_USD
2023,Data Scientist,Senior-level,On-site,US,L,247600
2025,Engineer,Executive-level,On-site,US,M,253000
2024,Associate,Entry-level,Remote,US,M,"$144,900"
2025,Data Scientist,Mid-level,On-site,US,M,"$153,300"
2025,Analytics Engineer,Mid-level,Remote,US,M,183000
2022,Machine Learning Engineer,Senior-level,Remote,US,L,202900
2024,Data Scientist,Mid-level,On-site,US,M,"$146,000"
2023,Data Scientist,Senior-level,On-site,US,M,205500
2025,Data Scientist,Senior-level,On-site,US,M,277000
2024,Data Scientist,Senior-level,On-site,US,M,293800
2025,Machine Learning Engineer,Entry-level,On-site,US,L,120000
2024,Data Analyst,Mid-level,On-site,US,M,152300
2023,Data Architect,Executive-level,On-site,US,M,155000
2025,Data Scientist,Mid-level,On-site,US,M,"$82,058"
2022,Machine Learning Engineer,Senior-level,Hybrid,FR,L,84053
2024,Machine Learning Engineer,Mid-level,On-site,US,M,162000
2025,Machine Learning Engineer,Mid-level,On-site,US,M,225000
2025,Data Engineer,Senior-level,On-site,US,M,162090
2021,Data Engineer,Mid-level,Hybrid,GB,S,66022
2024,Data Architect,Senior-level,Remote,US,M,170000
2025,Analytics Engineer,Senior-level,On-site,NL,M,78012
2025,Engineer ,Senior-level,Remote,US,M,266500
2024,Engineer,Senior-level,Remote,US,M,160160
2022,Data Engineer,Mid-level,Remote,US,M,90000
2025,Manager,Senior-level,On-site,US,M,204050
2021,Data Analyst,Senior-level,Hybrid,DE,L,63831
2024,Product Manager,Mid-level,On-site,US,M,220000
2025,Software Engineer,Senior-level,Remote,US,M,179657
2025,Data Scientist,Executive-level,On-site,CA,M,176428
2025,Analyst,Senior-level,On-site,US,M,116500
2025,AI Engineer,Senior-level,Remote,US,M,173000
2025,Data Engineer,Senior-level,On-site,US,M,105000
2024,Software Engineer,Entry-level,On-site,US,M,108000
2024,Analyst,Mid-level,On-site,US,M,51000
2024,Manager,Senior-level,On-site,US,M,200500
2022,Machine Learning Engineer,Senior-level,Remote,US,L,200000
2025,Data Scientist,Mid-level,Remote,US,M,123200
2024,Data Engineer,Mid-level,On-site,US,M,188500
2025,Software Engineer,Senior-level,Remote,US,M,216750
